"","scale","stem_word","count"
"1","linear","increase",108
"2","linear","population",52
"3","linear","triple",26
"4","linear","time",23
"5","linear","grow",21
"6","linear","double",9
"7","linear","exponential",9
"8","linear","approximate",8
"9","linear","grew",8
"10","linear","thousand",8
"11","linear","ewoks",7
"12","linear","rise",7
"13","linear","tribbles",5
"14","linear","aby",4
"15","linear","multiply",3
"16","linear","rapid",3
"17","linear","aprox",2
"18","linear","drastically",2
"19","linear","fast",2
"20","linear","grown",2
"21","linear","it",2
"22","linear","mean",2
"23","linear","quadruple",2
"24","linear","rough",2
"25","linear","slight",2
"26","linear","stardate",2
"27","linear","start",2
"28","linear","x3",2
"29","linear","app",1
"30","linear","approach",1
"31","linear","approx",1
"32","linear","aproximately",1
"33","linear","aroud",1
"34","linear","basically",1
"35","linear","begin",1
"36","linear","bigger",1
"37","linear","change",1
"38","linear","crece",1
"39","linear","curve",1
"40","linear","de",1
"41","linear","deaths",1
"42","linear","decline",1
"43","linear","degree",1
"44","linear","discontinua",1
"45","linear","division",1
"46","linear","doble",1
"47","linear","drop",1
"48","linear","duplicate",1
"49","linear","eighteen",1
"50","linear","ekwoks",1
"51","linear","eponential",1
"52","linear","ework",1
"53","linear","expand",1
"54","linear","explosive",1
"55","linear","exponencial",1
"56","linear","extreme",1
"57","linear","factor",1
"58","linear","flactuate",1
"59","linear","fold",1
"60","linear","forma",1
"61","linear","fourfold",1
"62","linear","geometrical",1
"63","linear","half",1
"64","linear","increasead",1
"65","linear","increment",1
"66","linear","invariata",1
"67","linear","large",1
"68","linear","mass",1
"69","linear","moment",1
"70","linear","more",1
"71","linear","move",1
"72","linear","mucho",1
"73","linear","place",1
"74","linear","populations",1
"75","linear","quadruplicate",1
"76","linear","reduce",1
"77","linear","respect",1
"78","linear","scatter",1
"79","linear","situate",1
"80","linear","size",1
"81","linear","slow",1
"82","linear","sporadically",1
"83","linear","stable",1
"84","linear","stardates",1
"85","linear","suthen",1
"86","linear","tendency",1
"87","linear","threefold",1
"88","linear","to17,500",1
"89","linear","treble",1
"90","linear","trend",1
"91","linear","tribles",1
"92","linear","triplicate",1
"93","linear","tripples",1
"94","linear","twenty",1
"95","linear","upward",1
"96","linear","war",1
"97","linear","x3,5",1
"98","log2","increase",113
"99","log2","population",48
"100","log2","time",24
"101","log2","grow",20
"102","log2","triple",16
"103","log2","double",15
"104","log2","approximate",12
"105","log2","ewoks",8
"106","log2","tribbles",8
"107","log2","quadruple",7
"108","log2","rough",7
"109","log2","approx",6
"110","log2","rise",6
"111","log2","linear",5
"112","log2","grew",4
"113","log2","large",4
"114","log2","aby",3
"115","log2","exponential",3
"116","log2","multiply",3
"117","log2","rate",3
"118","log2","thousand",3
"119","log2","change",2
"120","log2","creature",2
"121","log2","grown",2
"122","log2","increses",2
"123","log2","quadruplicate",2
"124","log2","raise",2
"125","log2","slow",2
"126","log2","abrupt",1
"127","log2","accurate",1
"128","log2","add",1
"129","log2","app",1
"130","log2","aprox",1
"131","log2","aproximately",1
"132","log2","bit",1
"133","log2","carry",1
"134","log2","compare",1
"135","log2","constant",1
"136","log2","continue",1
"137","log2","cuadruplicate",1
"138","log2","drop",1
"139","log2","ewrok",1
"140","log2","fast",1
"141","log2","fluctuate",1
"142","log2","gain",1
"143","log2","haa",1
"144","log2","half",1
"145","log2","hundred",1
"146","log2","inceases",1
"147","log2","incresead",1
"148","log2","individual",1
"149","log2","inscreases",1
"150","log2","it",1
"151","log2","linearely",1
"152","log2","log",1
"153","log2","mean",1
"154","log2","neglectable",1
"155","log2","ninety",1
"156","log2","overpopulate",1
"157","log2","period",1
"158","log2","poplulation",1
"159","log2","practical",1
"160","log2","quadrouples",1
"161","log2","scent",1
"162","log2","simillar",1
"163","log2","slight",1
"164","log2","slope",1
"165","log2","steady",1
"166","log2","sudden",1
"167","log2","tiny",1
"168","log2","tribble",1
"169","log2","tribble's",1
"170","log2","x3,2",1
