Effect,test_param,curvature,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Odds,Alpha,Lower,Upper,LowerMu,UpperMu,LowerOdds,UpperOdds
test_param*curvature,linear,t-E_n-H,3.5939,1.0591,419,3.39,0.0008,0.9732,0.02758,36.3769,0.05,1.512,5.6758,0.8194,0.9966,4.536,291.73
test_param*curvature,log,t-E_n-H,2.7426,0.928,419,2.96,0.0033,0.9395,0.05275,15.5277,0.05,0.9186,4.5667,0.7148,0.9897,2.5058,96.2215
test_param*curvature,log,t-E_n-M,2.6217,0.9176,419,2.86,0.0045,0.9322,0.05796,13.759,0.05,0.8181,4.4253,0.6938,0.9882,2.2662,83.5357
test_param*curvature,log,t-H_n-E,2.4243,0.8941,419,2.71,0.007,0.9187,0.06681,11.2947,0.05,0.6668,4.1819,0.6608,0.985,1.948,65.4882
test_param*curvature,linear,t-M_n-H,1.7523,0.845,419,2.07,0.0387,0.8522,0.1064,5.7677,0.05,0.09129,3.4132,0.5228,0.9681,1.0956,30.3637
test_param*curvature,linear,t-H_n-E,1.6716,0.8479,419,1.97,0.0493,0.8418,0.1129,5.3209,0.05,0.004933,3.3384,0.5012,0.9657,1.0049,28.1729
test_param*curvature,log,t-M_n-E,1.1264,0.82,419,1.37,0.1703,0.7552,0.1516,3.0844,0.05,-0.4856,2.7383,0.3809,0.9392,0.6154,15.4599
test_param*curvature,log,t-M_n-H,0.913,0.8158,419,1.12,0.2637,0.7136,0.1667,2.4917,0.05,-0.6906,2.5165,0.3339,0.9253,0.5013,12.3848
test_param*curvature,linear,t-E_n-M,0.5716,0.8335,419,0.69,0.4932,0.6391,0.1922,1.7711,0.05,-1.0667,2.21,0.256,0.9011,0.3441,9.1153
test_param*curvature,log,t-H_n-M,0.4687,0.8101,419,0.58,0.5632,0.6151,0.1918,1.5979,0.05,-1.1236,2.061,0.2453,0.8871,0.3251,7.8536
test_param*curvature,linear,t-H_n-M,-1.4837,0.8288,419,-1.79,0.0742,0.1849,0.1249,0.2268,0.05,-3.1128,0.1455,0.04258,0.5363,0.04447,1.1566
test_param*curvature,linear,t-M_n-E,-2.5442,0.8888,419,-2.86,0.0044,0.07282,0.06001,0.07854,0.05,-4.2913,-0.7971,0.0135,0.3107,0.01369,0.4507
