StmtNo,Effect,Slice,test_param,_test_param,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,curvature,_curvature,SimpleEffectLevel,OddsRatio,Alpha,Lower,Upper,AdjLower,AdjUpper,LowerOR,UpperOR,AdjLowerOR,AdjUpperOR
1,test_param*curvature,curvature t-M_n-E,log,linear,3.6705,0.6743,419,5.44,<.0001,Tukey-Kramer,<.0001,,,,,,,,,,,,,
1,test_param*curvature,curvature t-E_n-M,log,linear,2.0501,0.7014,419,2.92,0.0037,Tukey-Kramer,0.0037,,,,,,,,,,,,,
1,test_param*curvature,curvature t-M_n-H,log,linear,-0.8393,0.5874,419,-1.43,0.1538,Tukey-Kramer,0.1538,,,,,,,,,,,,,
1,test_param*curvature,curvature t-H_n-E,log,linear,0.7527,0.6951,419,1.08,0.2795,Tukey-Kramer,0.2795,,,,,,,,,,,,,
1,test_param*curvature,curvature t-E_n-H,log,linear,-0.8513,0.9540,419,-0.89,0.3727,Tukey-Kramer,0.3727,,,,,,,,,,,,,
1,test_param*curvature,curvature t-H_n-M,log,linear,1.9524,0.5720,419,3.41,0.0007,Tukey-Kramer,0.0007,,,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-1.4953,1.1837,419,-1.26,0.2072,Tukey-Kramer,0.8048,t-M_n-E,t-E_n-M,,,,,,,,,,,
2,test_param*curvature,test_param log,,,0.2134,1.1087,419,0.19,0.8475,Tukey-Kramer,1.0000,t-M_n-E,t-M_n-H,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-1.2980,1.1664,419,-1.11,0.2664,Tukey-Kramer,0.8760,t-M_n-E,t-H_n-E,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-1.6163,1.1923,419,-1.36,0.1760,Tukey-Kramer,0.7535,t-M_n-E,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param log,,,0.6577,1.1053,419,0.60,0.5521,Tukey-Kramer,0.9913,t-M_n-E,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param log,,,1.7087,1.1805,419,1.45,0.1485,Tukey-Kramer,0.6978,t-E_n-M,t-M_n-H,,,,,,,,,,,
2,test_param*curvature,test_param log,,,0.1974,1.2335,419,0.16,0.8730,Tukey-Kramer,1.0000,t-E_n-M,t-H_n-E,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-0.1209,1.2570,419,-0.10,0.9234,Tukey-Kramer,1.0000,t-E_n-M,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param log,,,2.1530,1.1787,419,1.83,0.0685,Tukey-Kramer,0.4497,t-E_n-M,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-1.5114,1.1640,419,-1.30,0.1948,Tukey-Kramer,0.7858,t-M_n-H,t-H_n-E,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-1.8297,1.1893,419,-1.54,0.1247,Tukey-Kramer,0.6396,t-M_n-H,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param log,,,0.4443,1.1021,419,0.40,0.6871,Tukey-Kramer,0.9986,t-M_n-H,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param log,,,-0.3183,1.2393,419,-0.26,0.7974,Tukey-Kramer,0.9998,t-H_n-E,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param log,,,1.9557,1.1608,419,1.68,0.0928,Tukey-Kramer,0.5427,t-H_n-E,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param log,,,2.2740,1.1871,419,1.92,0.0561,Tukey-Kramer,0.3940,t-E_n-H,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-3.1158,1.1787,419,-2.64,0.0085,Tukey-Kramer,0.0893,t-M_n-E,t-E_n-M,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-4.2964,1.1890,419,-3.61,0.0003,Tukey-Kramer,0.0045,t-M_n-E,t-M_n-H,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-4.2158,1.1903,419,-3.54,0.0004,Tukey-Kramer,0.0059,t-M_n-E,t-H_n-E,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-6.1381,1.3519,419,-4.54,<.0001,Tukey-Kramer,0.0001,t-M_n-E,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-1.0605,1.1661,419,-0.91,0.3636,Tukey-Kramer,0.9440,t-M_n-E,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-1.1806,1.1398,419,-1.04,0.3009,Tukey-Kramer,0.9057,t-E_n-M,t-M_n-H,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-1.1000,1.1422,419,-0.96,0.3361,Tukey-Kramer,0.9293,t-E_n-M,t-H_n-E,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-3.0223,1.3069,419,-2.31,0.0212,Tukey-Kramer,0.1912,t-E_n-M,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,2.0553,1.1325,419,1.81,0.0703,Tukey-Kramer,0.4573,t-E_n-M,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,0.08062,1.1489,419,0.07,0.9441,Tukey-Kramer,1.0000,t-M_n-H,t-H_n-E,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-1.8417,1.3099,419,-1.41,0.1605,Tukey-Kramer,0.7235,t-M_n-H,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,3.2360,1.1432,419,2.83,0.0049,Tukey-Kramer,0.0547,t-M_n-H,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,-1.9223,1.3114,419,-1.47,0.1434,Tukey-Kramer,0.6863,t-H_n-E,t-E_n-H,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,3.1553,1.1443,419,2.76,0.0061,Tukey-Kramer,0.0666,t-H_n-E,t-H_n-M,,,,,,,,,,,
2,test_param*curvature,test_param linear,,,5.0776,1.3113,419,3.87,0.0001,Tukey-Kramer,0.0017,t-E_n-H,t-H_n-M,,,,,,,,,,,
,test_param*curvature,,log,linear,3.6705,0.6743,419,5.44,<.0001,Tukey-Kram,<.0001,,,curvature t-M_n-E,39.272,0.05,2.3452,4.9959,2.3452,4.9959,10.435,147.799,10.435,147.799
,test_param*curvature,,log,linear,2.0501,0.7014,419,2.92,0.0037,Tukey-Kram,0.0037,,,curvature t-E_n-M,7.768,0.05,0.6714,3.4288,0.6714,3.4288,1.957,30.839,1.957,30.839
,test_param*curvature,,log,linear,-0.8393,0.5874,419,-1.43,0.1538,Tukey-Kram,0.1538,,,curvature t-M_n-H,0.432,0.05,-1.9939,0.3152,-1.9939,0.3152,0.136,1.371,0.136,1.371
,test_param*curvature,,log,linear,0.7527,0.6951,419,1.08,0.2795,Tukey-Kram,0.2795,,,curvature t-H_n-E,2.123,0.05,-0.6136,2.1190,-0.6136,2.1190,0.541,8.323,0.541,8.323
,test_param*curvature,,log,linear,-0.8513,0.9540,419,-0.89,0.3727,Tukey-Kram,0.3727,,,curvature t-E_n-H,0.427,0.05,-2.7265,1.0239,-2.7265,1.0239,0.065,2.784,0.065,2.784
,test_param*curvature,,log,linear,1.9524,0.5720,419,3.41,0.0007,Tukey-Kram,0.0007,,,curvature t-H_n-M,7.045,0.05,0.8280,3.0767,0.8280,3.0767,2.289,21.687,2.289,21.687
