"participantID","nick_name","study_starttime","age","gender","academic_study","recruitment","plotID","start_time","end_time","parm_id","x","y","ydrawn","yloess","residualdrawn","residualloess","ypca"
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",0,-1.846379,-2.711324,-2.66898147565234,-0.864945,-0.822602475652344,-2.49689514120675
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",0.25,-1.695505,-2.539531,-2.54002097055883,-0.844026,-0.844515970558827,-2.3297739009785
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",0.5,-1.544632,-2.425003,-2.40979191832829,-0.880371,-0.86515991832829,-2.16265266075026
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",0.75,-1.393759,-2.367739,-2.2783188564839,-0.97398,-0.884559856483895,-1.99553142052202
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",1,-1.242885,-2.253211,-2.1456263225488,-1.010326,-0.902741322548803,-1.82841018029377
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",1.25,-1.092012,-2.081418,-2.01173885404617,-0.989406,-0.919726854046174,-1.66128894006553
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",1.5,-0.9411388,-1.96689,-1.87668098849917,-1.0257512,-0.93554218849917,-1.49416769983729
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",1.75,-0.7902654,-1.852362,-1.74047726343095,-1.0620966,-0.95021186343095,-1.32704645960904
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",2,-0.6393921,-1.566041,-1.60315221636468,-0.9266489,-0.963760116364676,-1.1599252193808
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",2.25,-0.4885187,-1.394248,-1.46473038482351,-0.9057293,-0.976211684823508,-0.992803979152556
