"parm_id","x","participantID","ols.pred","ols.lower","ols.upper","pca.pred","pca.lower","pca.upper"
"S",0,"07b99df3c1c4c28454a3b1cce128a1b5",-0.148857675983843,-0.350818288067494,0.0531029360998085,-0.0223356601143482,-0.214353104862974,0.169681784634277
"S",0.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.222304718595083,-0.418137371475352,-0.0264720657148145,-0.102249625752366,-0.287833466452377,0.0833342149476463
"S",1,"07b99df3c1c4c28454a3b1cce128a1b5",-0.293904044719558,-0.486996047854992,-0.100812041584123,-0.18030217793158,-0.362894630960712,0.00229027509755098
"S",1.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.360910850327629,-0.553814809499719,-0.168006891155539,-0.253729975944714,-0.435911441984401,-0.0715485099050277
"S",2,"07b99df3c1c4c28454a3b1cce128a1b5",-0.420592424323375,-0.614439557942543,-0.226745290704207,-0.319785256972515,-0.502648448023552,-0.136922065921479
"S",2.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.47105748384193,-0.666072979213354,-0.276041988470505,-0.376571757877372,-0.560260907333489,-0.192882608421254
"S",3,"07b99df3c1c4c28454a3b1cce128a1b5",-0.511660714135564,-0.708042468861416,-0.315278959409713,-0.423451344150494,-0.608087721448968,-0.23881496685202
"S",3.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.54297926422127,-0.741203273645308,-0.344755254797233,-0.4610183240457,-0.647022555226588,-0.275014092864812
"S",4,"07b99df3c1c4c28454a3b1cce128a1b5",-0.566446580341557,-0.766979138453407,-0.365914022229706,-0.490728069547115,-0.678515006395973,-0.302941132698257
"S",4.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.583798401006391,-0.786868339405132,-0.380728462607649,-0.514336695936688,-0.704072608413889,-0.324600783459488
"S",5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.596513349967084,-0.802271601781174,-0.390755098152994,-0.53333627887979,-0.725108054856523,-0.341564502903056
"S",5.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.605408836622789,-0.814152074636832,-0.396665598608745,-0.54854786903642,-0.74260246121639,-0.354493276856451
"S",6,"07b99df3c1c4c28454a3b1cce128a1b5",-0.610490412705621,-0.822600941288065,-0.398379884123176,-0.55997108380645,-0.756652465430881,-0.363289702182019
"S",6.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.61106990358208,-0.826811344236035,-0.395328462928126,-0.566905194184202,-0.766434969712064,-0.36737541865634
"S",7,"07b99df3c1c4c28454a3b1cce128a1b5",-0.606089785653597,-0.825592752277909,-0.386586819029285,-0.568277972331983,-0.770738686281431,-0.365817258382536
"S",7.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.594540119439794,-0.817974793539841,-0.371105445339746,-0.563067064394736,-0.768587906264435,-0.357546222525036
"S",8,"07b99df3c1c4c28454a3b1cce128a1b5",-0.575841604252985,-0.803489371144948,-0.348193837361022,-0.550686104427989,-0.759521220912779,-0.341850987943199
