"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
1,"F",-1.00165723643456,0.0674395288063933,Inf,-1.13383628402944,-0.869478188839678,-0.144089752931215,0.0672175318471139,Inf,-0.275833694481232,-0.0123458113811978
1.5,"F",-0.962277951153361,0.0670560644420631,Inf,-1.0937054224048,-0.83085047990192,-0.152357381034201,0.066852947191353,Inf,-0.283386749789611,-0.021328012278791
2,"F",-0.922898665872161,0.0666924929228849,Inf,-1.05361355004021,-0.792183781704114,-0.160625009137187,0.0665073654104056,Inf,-0.290977050048227,-0.0302729682261471
2.5,"F",-0.883519380590961,0.066349141268453,Inf,-1.01356130788229,-0.753477453299633,-0.168892637240173,0.0661810841903327,Inf,-0.298605178711038,-0.0391800957693078
3,"F",-0.844140095309762,0.0660263249229758,Inf,-0.973549314190334,-0.71473087642919,-0.177160265343159,0.0658743903235081,Inf,-0.306271697880769,-0.0480488328055493
3.5,"F",-0.804760810028562,0.0657243464751744,Inf,-0.933578162027336,-0.675943458029789,-0.185427893446145,0.0655875585876712,Inf,-0.313977146111891,-0.0568786407803986
4,"F",-0.765381524747363,0.0654434943850367,Inf,-0.893648416764484,-0.637114632730242,-0.193695521549131,0.0653208506343864,Inf,-0.321722036232049,-0.0656690068662131
4.5,"F",-0.726002239466163,0.0651840417283329,Inf,-0.853760613620452,-0.598243865311875,-0.201963149652117,0.0650745138961464,Inf,-0.329506853200015,-0.0744194461042186
5,"F",-0.686622954184964,0.0649462449702745,Inf,-0.813915255257817,-0.55933065311211,-0.210230777755103,0.0648487805216952,Inf,-0.337332052018968,-0.0831295034912376
5.5,"F",-0.647243668903764,0.0647303427800126,Inf,-0.774112809459521,-0.520374528348007,-0.218498405858089,0.0646438663493571,Inf,-0.345198055724249,-0.0917987559919281
6,"F",-0.607864383622565,0.0645365548978104,Inf,-0.734353706908565,-0.481375060336564,-0.226766033961075,0.0644599699282229,Inf,-0.353105253464926,-0.100426814457223
6.5,"F",-0.568485098341365,0.0643650810666734,Inf,-0.694638339094046,-0.442331857588684,-0.235033662064061,0.0642972715969548,Inf,-0.361053998698282,-0.109013325429839
7,"F",-0.529105813060166,0.0642161000399582,Inf,-0.654967056366105,-0.403244569754226,-0.243301290167047,0.0641559326297191,Inf,-0.369044607515874,-0.117557972818219
7.5,"F",-0.489726527778966,0.0640897686760186,Inf,-0.615340166161466,-0.364112889396466,-0.251568918270033,0.0640360944583354,Inf,-0.377077357118975,-0.12606047942109
8,"F",-0.450347242497766,0.0639862211302587,Inf,-0.575757931419889,-0.324936553575644,-0.259836546373019,0.0639378779791444,Inf,-0.385152484460058,-0.134520608285979
8.5,"F",-0.410967957216567,0.0639055681540844,Inf,-0.536220569210142,-0.285715345222992,-0.268104174476004,0.0638613829523474,Inf,-0.393270185065525,-0.142938163886483
9,"F",-0.371588671935367,0.0638478965091524,Inf,-0.496728249581947,-0.246449094288788,-0.27637180257899,0.0638066875006695,Inf,-0.401430612053105,-0.151312993104876
9.5,"F",-0.332209386654168,0.0638132685040636,Inf,-0.457281094657917,-0.207137678650419,-0.284639430681976,0.0637738477131585,Inf,-0.409633875355309,-0.159644986008644
10,"F",-0.292830101372968,0.0638017216592243,Inf,-0.417879177976697,-0.16778102476924,-0.292907058784962,0.0637628973587734,Inf,-0.417880041158082,-0.167934076411842
10.5,"F",-0.253450816091769,0.0638132685040636,Inf,-0.378522524095518,-0.12837910808802,-0.301174686887948,0.0637738477131585,Inf,-0.426169131561281,-0.176180242214616
